Village Name,Gram Panchayat,TALUK,district
Adagal,Adagal,Badami ,YADGIR
Bhagavati,Bagavati,Bagalkot ,YADGIR
Anagawadi,Anagwadi,Bilgi ,YADGIR
Amarawati,Amarawati,Hungund ,YADGIR
Adihudi,Adihudi,Jamkhandi ,YADGIR
Badnur,Bantnur,Mudhol ,YADGIR
Kabbalageri,Adagal,Badami ,YADGIR
Kirasur,Bagavati,Bagalkot ,YADGIR
Kadapatti,Anagwadi,Bilgi ,YADGIR
Ramawadgi,Amarawati,Hungund ,YADGIR
Alagur,Algur,Jamkhandi ,YADGIR
Bhantnur,Bantnur,Mudhol ,YADGIR
Alur S K,Alur Sk,Badami ,YADGIR
Achanur,Bel Kerur,Bagalkot ,YADGIR
Tummarmatti,Anagwadi,Bilgi ,YADGIR
Timmapur,Amarawati,Hungund ,YADGIR
Asangi,Asangi,Jamkhandi ,YADGIR
Chikkur,Bantnur,Mudhol ,YADGIR
Beeranur,Alur Sk,Badami ,YADGIR
Bilkerur,Bel Kerur,Bagalkot ,YADGIR
Arakeri,Arakeri,Bilgi ,YADGIR
Balakundi,Balkundi,Hungund ,YADGIR
Madanamatti,Asangi,Jamkhandi ,YADGIR
Junnur,Bantnur,Mudhol ,YADGIR
Govanakoppa,Alur Sk,Badami ,YADGIR
Sangapur,Bel Kerur,Bagalkot ,YADGIR
Durgapura,Arakeri,Bilgi ,YADGIR
Ishwarnagar,Balkundi,Hungund ,YADGIR
Bidari,Bidari,Jamkhandi ,YADGIR
Antapur,Baragi,Mudhol ,YADGIR
Haganur,Alur Sk,Badami ,YADGIR
Benakatti,Benakatti,Bagalkot ,YADGIR
Badagandi,Badagandi,Bilgi ,YADGIR
Belgal,Belgal,Hungund ,YADGIR
Chikkalaki,Bidari,Jamkhandi ,YADGIR
Baragi,Baragi,Mudhol ,YADGIR
Talakawad,Alur Sk,Badami ,YADGIR
Ingalagi,Benakatti,Bagalkot ,YADGIR
Rolli,Badagandi,Bilgi ,YADGIR
Bisanalkoppa,Belgal,Hungund ,YADGIR
Janawad,Bidari,Jamkhandi ,YADGIR
Bidri,Baragi,Mudhol ,YADGIR
Anawal,Anawal,Badami ,YADGIR
Mannikatti,Benakatti,Bagalkot ,YADGIR
Badgi,Badagi,Bilgi ,YADGIR
Huvanur,Belgal,Hungund ,YADGIR
Chikkapadasalgi,Chikka Padsalgi,Jamkhandi ,YADGIR
Chinchakhandi,Chinchakhandi K D,Mudhol ,YADGIR
Hanamaneri Inam,Anawal,Badami ,YADGIR
Bennur,Bennur,Bagalkot ,YADGIR
Budihal,Badagi,Bilgi ,YADGIR
Kirasur,Belgal,Hungund ,YADGIR
Kavatagi,Chikka Padsalgi,Jamkhandi ,YADGIR
Jambgi,Chinchakhandi K D,Mudhol ,YADGIR
Kalabandakeri,Anawal,Badami ,YADGIR
Ilal,Bennur,Bagalkot ,YADGIR
Gulbal,Badagi,Bilgi ,YADGIR
Medinapur,Belgal,Hungund ,YADGIR
Chimmad,Chimmad,Jamkhandi ,YADGIR
Jeeragal,Chinchakhandi K D,Mudhol ,YADGIR
Belur,Belur,Badami ,YADGIR
Siraguppi,Bennur,Bagalkot ,YADGIR
Bavalatti,Budihal Sh,Bilgi ,YADGIR
Bekamaladinni,Binjawadgi,Hungund ,YADGIR
Golbhavi,Golabavi,Jamkhandi ,YADGIR
Dadanatti,Dadnatti,Mudhol ,YADGIR
Dhanakashirur,Belur,Badami ,YADGIR
Talagihal,Bennur,Bagalkot ,YADGIR
Budhihal,Budihal Sh,Bilgi ,YADGIR
Binjawadgi,Binjawadgi,Hungund ,YADGIR
Kaltippi,Golabavi,Jamkhandi ,YADGIR
Hosakoti,Dadnatti,Mudhol ,YADGIR
Cholachagudda,Cholachagud,Badami ,YADGIR
